ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Bwe_Karen-1_all-1-1,Bwe_Karen-1_all-1,ɕá-,1-1,false,expert,Starostin2011,,,
Geba_Karen-1_all-1-1,Geba_Karen-1_all-1,ló=sá-sɛ̀ʔ,1-1,false,expert,Starostin2011,,,
Eastern_Kayah_Li-1_all-1-1,Eastern_Kayah_Li-1_all-1,pwā,1-2,false,expert,Starostin2011,,,
Kayah_Monu-1_all-1-1,Kayah_Monu-1_all-1,lɤ́-bɔ̀,1-3,false,expert,Starostin2011,,,
Brek_Kayaw-1_all-1-1,Brek_Kayaw-1_all-1,lɤ̄ʰ,1-3,false,expert,Starostin2011,,,
Yintale-1_all-1-1,Yintale-1_all-1,lū-lù,1-3,false,expert,Starostin2011,,,
Yintale-1_all-2-1,Yintale-1_all-2,lù-plī,1-3,false,expert,Starostin2011,,,
Pekon_Kayan-1_all-1-1,Pekon_Kayan-1_all-1,lóʰ,1-3,false,expert,Starostin2011,,,
Lahta_Kayan-1_all-1-1,Lahta_Kayan-1_all-1,lū,1-3,false,expert,Starostin2011,,,
Yinbaw-1_all-1-1,Yinbaw-1_all-1,pwáiʰ-trʋ̀,1-2,false,expert,Starostin2011,,,
Bwe_Karen-2_ashes-1-1,Bwe_Karen-2_ashes-1,pʰɛ̄,2-1,false,expert,Starostin2011,,,
Geba_Karen-2_ashes-1-1,Geba_Karen-2_ashes-1,pʰɛ́ʔ,2-1,false,expert,Starostin2011,,,
Eastern_Kayah_Li-2_ashes-1-1,Eastern_Kayah_Li-2_ashes-1,mì=pi̯à,2-1,false,expert,Starostin2011,,,
Western_Kayah_Li-2_ashes-1-1,Western_Kayah_Li-2_ashes-1,kɔ̋=pʰɛ̏,2-1,false,expert,Starostin2011,,,
Kayah_Monu-2_ashes-1-1,Kayah_Monu-2_ashes-1,pʰá,2-1,false,expert,Starostin2011,,,
Brek_Kayaw-2_ashes-1-1,Brek_Kayaw-2_ashes-1,pʰà,2-1,false,expert,Starostin2011,,,
